code,name,enname,pct_chg_exact,limit_up_count,up_count,up_true_count,limit_up_used,open,high,low,close,pre_close,change,amplitude,vol,amount,sector,turnover_rate,volume_ratio,ma_3,pct_chg_3,ma_5,pct_chg_5,ma_10,pct_chg_10
601006,大秦铁路,"Daqin Railway Co., Ltd.",0.89,0,6,0,False,7.85,7.93,7.83,7.92,7.85,0.07,1.27,239643.8,189445.756,SH,0.1612,1.09,7.87,1.8,7.83,2.59,7.75,3.39
601008,连云港,"Jiangsu Lianyungang Port Co.,Ltd.",2.16,0,2,0,False,3.71,3.79,3.66,3.79,3.71,0.08,3.5,88668.71,33200.729,SH,0.8734,1.67,3.72,1.61,3.72,3.55,3.72,1.07
601015,陕西黑猫,"Shaanxi Heimao Coking Co., Ltd.",4.49,0,2,1,False,3.15,3.28,3.14,3.26,3.12,0.14,4.49,306783.85,99159.981,SH,2.1031,3.02,3.15,6.54,3.1,9.03,3.05,6.54
601018,宁波港,Ningbo Zhoushan Port Company Limited,1.96,0,2,0,False,3.55,3.64,3.54,3.64,3.57,0.07,2.8,162889.99,58696.262,SH,0.1273,1.68,3.59,1.96,3.59,1.96,3.6,-0.27
601021,春秋航空,"Spring Airlines Co., Ltd.",0.77,0,2,2,False,41.6,41.99,41.21,41.84,41.52,0.32,1.88,28155.22,117498.902,SH,0.3072,0.75,41.52,0.17,41.71,-1.97,42.08,-2.95
601028,玉龙股份,"Jiangsu Yulong Steel Pipe Co., Ltd.",0.78,0,2,0,False,5.1,5.21,5.08,5.15,5.11,0.04,2.54,29290.4,15094.805,SH,0.3741,2.15,5.11,0.78,5.12,1.98,5.1,0.78
601066,中信建投,"China Securities Co.,Ltd.",1.72,0,2,1,False,22.71,23.07,22.39,23.07,22.68,0.39,3.0,399460.25,914244.783,SH,4.6214,1.4,22.72,2.12,22.72,2.95,22.56,3.64
601068,中铝国际,China Aluminum International Engineering Corporation Limited,2.5,0,2,0,False,5.19,5.37,5.16,5.33,5.2,0.13,4.04,100716.0,53325.596,SH,3.4036,2.08,5.22,1.91,5.22,4.1,5.19,4.31
601088,中国神华,China Shenhua Energy Company Limited,2.89,0,2,0,False,17.28,18.09,17.26,17.8,17.3,0.5,4.8,1015408.6,1809008.794,SH,0.6157,3.38,17.43,3.31,17.36,3.73,17.32,0.96
601101,昊华能源,"Beijing Haohua Energy Resource Co.,Ltd.",4.58,0,2,1,False,5.26,5.51,5.25,5.48,5.24,0.24,4.96,99960.59,54221.389,SH,0.833,4.39,5.3,4.98,5.27,6.0,5.23,4.58
601116,三江购物,"Sanjiang Shopping Club Co.,Ltd",2.06,0,2,3,False,13.68,13.92,13.56,13.9,13.62,0.28,2.64,36553.35,50393.319,SH,0.8899,1.39,13.68,2.43,13.67,3.12,13.74,-3.67
601126,四方股份,"Beijing Sifang Automation Co.,Ltd",0.56,0,2,0,False,5.29,5.35,5.26,5.34,5.31,0.03,1.69,15636.8,8310.992,SH,0.1966,1.19,5.32,0.0,5.32,1.52,5.31,-2.2
601137,博威合金,Ningbo Boway Alloy Material Company Limited,1.31,0,2,2,False,9.96,10.17,9.92,10.05,9.92,0.13,2.52,37421.85,37550.689,SH,0.609,0.66,9.96,0.9,10.01,-0.4,9.9,2.45
601179,中国西电,"China XD Electric Co.,Ltd",0.86,0,3,0,False,3.47,3.51,3.44,3.51,3.48,0.03,2.01,71180.53,24850.283,SH,0.1389,1.17,3.47,3.54,3.45,3.54,3.42,2.93
601186,中国铁建,China Railway Construction Corporation Limited,3.85,0,2,1,False,9.37,9.75,9.35,9.72,9.36,0.36,4.27,900262.33,866029.996,SH,0.7826,2.35,9.44,4.29,9.41,3.18,9.44,3.96
601212,白银有色,"Baiyin Nonferrous Group Co., Ltd.",2.66,0,2,0,False,3.36,3.55,3.32,3.47,3.38,0.09,6.8,312635.2,107816.198,SH,1.5913,2.22,3.4,1.46,3.39,4.52,3.38,5.79
601226,华电重工,"Huadian Heavy Industries Co., Ltd.",1.75,0,2,1,False,4.0,4.07,3.96,4.06,3.99,0.07,2.76,20923.5,8425.311,SH,0.1812,1.71,4.01,1.25,4.01,2.53,3.99,3.05
601229,上海银行,"Bank of Shanghai Co., Ltd.",0.65,0,3,0,False,9.24,9.32,9.22,9.3,9.24,0.06,1.08,248093.88,230617.781,SH,0.1871,0.85,9.24,1.97,9.21,0.98,9.19,0.43
601233,桐昆股份,"Tongkun Group Co.,Ltd",0.54,0,2,0,False,12.98,13.22,12.79,13.05,12.98,0.07,3.31,208827.01,271548.049,SH,1.1301,1.55,12.99,-0.31,13.06,2.27,12.99,-0.99
601236,红塔证券,"HONGTA SECURITIES CO.,LTD.",3.63,0,3,0,False,14.6,15.25,14.3,15.15,14.62,0.53,6.5,698904.58,1030286.248,SH,19.2007,1.71,14.64,8.76,14.39,11.15,13.97,13.57
601238,广汽集团,"Guangzhou Automobile Group Co., Ltd",3.12,0,2,1,False,11.26,11.77,11.18,11.58,11.23,0.35,5.25,159074.89,183741.011,SH,0.2614,2.03,11.34,2.93,11.34,4.04,11.23,0.7
601288,农业银行,Agricultural Bank of China Limited,1.11,0,3,2,False,3.61,3.65,3.6,3.64,3.6,0.04,1.39,1948106.21,708803.374,SH,0.0662,1.19,3.61,1.68,3.6,1.39,3.59,2.54
601311,骆驼股份,"Camel Group Co.,Ltd.",0.67,0,2,0,False,8.95,9.05,8.87,9.03,8.97,0.06,2.01,58751.03,52873.383,SH,0.6801,1.25,8.98,0.22,9.0,1.69,8.96,-0.99
601328,交通银行,"Bank of Communications Co.,Ltd.",1.27,0,2,2,False,5.52,5.58,5.51,5.57,5.5,0.07,1.27,716872.47,398758.337,SH,0.1826,1.21,5.52,1.27,5.52,0.54,5.53,-0.54
601333,广深铁路,Guangshen Railway Company Limited,1.35,0,3,0,False,2.95,3.01,2.95,3.0,2.96,0.04,2.03,224736.47,67078.355,SH,0.3976,1.6,2.97,2.04,2.96,2.04,2.97,-0.33
601390,中国中铁,China Railway Group Limited,3.92,0,3,0,False,5.59,5.85,5.58,5.83,5.61,0.22,4.81,1086287.93,627339.405,SH,0.5829,3.52,5.65,5.81,5.61,5.62,5.59,3.19
601567,三星医疗,"Ningbo Sanxing Medical Electric Co. , Ltd.",0.6,0,3,2,False,6.77,6.87,6.59,6.7,6.66,0.04,4.2,93775.75,62785.886,SH,0.6763,1.7,6.64,3.24,6.59,5.18,6.49,5.02
601599,鹿港文化,"Jiangsu Lugang Culture Co., Ltd",10.06,1,2,1,False,3.5,3.5,3.5,3.5,3.18,0.32,0.0,82731.22,28955.927,SH,0.9267,0.3,3.26,13.27,3.21,21.53,3.02,23.67
601600,中国铝业,Aluminum Corporation of China Limited,3.01,0,2,0,False,3.32,3.43,3.31,3.42,3.32,0.1,3.61,669163.46,226764.265,SH,0.6106,2.46,3.35,3.32,3.34,3.32,3.34,2.09
