code,name,pe,pe_ttm,pb,ps,ps_ttm,total_share,float_share,free_share,total_mv,circ_mv,area,industry,fullname,enname,market,exchange,curr_type,list_status,list_date,delist_date
300758,七彩化学,33.2866,29.2897,3.142,5.7413,5.3062,10668.0,2668.0,2668.0,350763.84,87723.84,辽宁,染料涂料,鞍山七彩化学股份有限公司,"Anshan Hifichem Co.,Ltd.",创业板,SZSE,CNY,L,20190222,
300759,康龙化成,99.7882,77.4656,11.0359,11.64,9.6741,66037.0962,6563.0,6563.0,3385061.5512,336419.38,北京,化学制药,康龙化成(北京)新药技术股份有限公司,"Pharmaron Beijing Co., Ltd.",创业板,SZSE,CNY,L,20190128,
300760,迈瑞医疗,60.3558,49.9529,12.7507,16.3216,14.1599,121569.1266,49913.4264,30999.8459,22447739.2267,9216514.1848,深圳,医疗保健,深圳迈瑞生物医疗电子股份有限公司,"Shenzhen Mindray Bio-Medical Electronics Co., Ltd.",创业板,SZSE,CNY,L,20181016,
300761,立华股份,18.5549,15.1277,3.9635,3.3427,2.9587,40388.0,4128.0,4128.0,2411567.48,246482.88,江苏,农业综合,江苏立华牧业股份有限公司,"JIANGSU LIHUA ANIMAL HUSBANDRY CO., LTD.",创业板,SZSE,CNY,L,20190218,
300762,上海瀚讯,64.8898,61.3631,5.818,15.6365,13.7761,13336.0,3336.0,3336.0,665733.12,166533.12,上海,通信设备,上海瀚讯信息技术股份有限公司,"Jushri Technologies,Inc.",创业板,SZSE,CNY,L,20190314,
300763,锦浪科技,24.0615,25.876,3.4843,3.417,2.7903,7999.9952,2000.0,2000.0,284079.8296,71020.0,浙江,电气设备,宁波锦浪新能源科技股份有限公司,"Ningbo Ginlong Technologies Co., Ltd.",创业板,SZSE,CNY,L,20190319,
300765,新诺威,30.3073,25.4632,2.8912,5.4705,5.2242,20000.0,5000.0,5000.0,678400.0,169600.0,河北,食品,石药集团新诺威制药股份有限公司,"CSPC Innovation Pharmaceutical Co.,Ltd.",创业板,SZSE,CNY,L,20190322,
300766,每日互动,54.3252,76.5096,7.9608,25.0606,25.5499,40010.0,4010.0,4010.0,1351537.8,135457.8,浙江,互联网,浙江每日互动网络科技股份有限公司,"Zhejiang Merit Interactive Network Technology Co.,Ltd.",创业板,SZSE,CNY,L,20190325,
300767,震安科技,32.6476,39.7695,3.9579,8.1335,8.7482,8000.0,2000.0,2000.0,373600.0,93400.0,云南,橡胶,震安科技股份有限公司,"QuakeSafe Technologies Co., Ltd.",创业板,SZSE,CNY,L,20190329,
300768,迪普科技,66.666,59.3165,8.3561,19.0331,17.4869,40001.0,4001.0,4001.0,1340033.5,134033.5,浙江,软件服务,杭州迪普科技股份有限公司,"Hangzhou DPtech Technologies Co.,Ltd.",创业板,SZSE,CNY,L,20190412,
